,database,collection,text
5887cfcd48d8230d456f810d,inauguration_no_filter,tweets,user_mention none of you like tasting your own medicine pretty soon the light is going to shine on all hollywood cockroaches 
5889d2e648d8230d46cbb65e,inauguration,tweets,satanic queen elizabeth & her fellow cockroaches hav been killin #biafrans since 1945 til date in british-nigeria plc . user_mention user_mention user_mention 
5826f6f548d823686ef7e97f,uselections,tweets,#punjabagainstsyl aap can stoop low to any extent … plying trademark cheap politics on punjab ’ legitimate right on water 
582967fb48d8236e71dbbb06,twitter,tweets,that doll trap house commercial way made was cool af she really be water whiping them bundles 😂😂😂😂 
582a3bae48d82361ce406887,twitter,tweets,"steele water tip for today ... try to report broken pipes , open water hydrants and stray sprinklers to the property ... "
582b7b6948d8235e1f1f6751,uselections,tweets,west virginia mayor and non-profit director in hot water after calling michelle obama an ape 
59220cab48d8230b13ad545b,unfiltered_stream_May17,tweets,or skinny dipping in water and getting hypothermia 
5823c0c648d82333980eb113,twitter,tweets,antique 12 inch yellow ware mixing bowl primitive 
5826b22848d82344d203cd67,uselections,tweets,user_mention you voted for a ' man ' who thinks it's ok to grab women by the pussy . which shows what a primitive bunch of cunts you are . 
5833d3d448d8237d8a704fb6,twitter,tweets,primitive christmas snowman snowflake ready to ship #mynewtag #ofgteam 
5928b7bb48d82352c45cf9eb,unfiltered_stream_May17,tweets,foe sale primitive blue olde black crow coffee wood sign country rustic folk art decor #artist via user_mention 
5929bcc848d8235e31f114cf,unfiltered_stream_May17,tweets,25% off sale country primitive christmas flying santa ho ho ho wire wall ... 
