#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
@ city hall watching passing of resolution recognizing #jrw little league champions! go #chicago!	joy	anticipation	trust
@258_abdallah scored in 2 champions league finals with 2 different teams.	joy	trust	
@__sparky___ forster hasn't proved himself yet though. one game good game in the champions league doesn't make him a great keeper.	disgust	anticipation	fear
@_growingstrongx they're gonna win it. premier league back this weekend. champions league is back next week too. loving all this footy.	joy	anticipation	trust
@_gulexd yh man during uni we'll see how well we done i'm sending u a pic of my league and champions league squads lol	joy	anticipation	sarcasm
@_kingblake @macca_clifton @_dunderdog_ and football goes back before 2003 so :) djimi traore has more champions league medals than arsenal😂	joy	trust	
@_liambromley good player since he went to a champions league team 😉	trust	joy	anticipation
@_mosakho need a big miracle to get it this year, other teams are stacked lol. i would say main goal is getting a champions league spot.	fear	anticipation	sadness
@_paddyyyy @tommoswfc_ and man city or bolton isn't really the same haha, premier league champions or a shit champ club?	disgust	sarcasm	joy
@_planetroc i can't remember the last time i could name that many world class united players since the 2008 champions league final	sadness	disgust	surprise
@_the12thman i genuinely think they plan it so that the big games are straight after champions league games. seems like it	fear	disgust	sadness
@aaroncrockett90 sad times. you don't need a new stadium anyway. not like you're in the #ucl or anything.	sadness	disgust	
absolutely buzzing to see liverpool back in the champions league next week 😁	joy	anticipation	trust
absolutely gutted to be away on a work course for #lfc #championsleague return next week! won't be able to get near a tele tuesday night!	sadness	anger	disgust
according to my calculations arsenal will never win the champions league	trust	anticipation	ambiguous
against celtic, neymar scored the fastest champions league hat-trick (13 minutes) in barcelona history. 4th fastest cl hat-trick overall.	trust	joy	surprise
ah...finally they don't have chelsea and real on the same night for champions league!	joy	surprise	trust
ajax vs psg, bayern munich vs man city, roma vs cska moscow, chelsea vs schalke, and more #championsleague games next wednesday. #cantwait	anticipation	joy	trust
all i want chelsea 2 - barcelona 0. uefa champions league final.	anticipation	joy	
all i want for christmas is, for chicharito to make the winning goal so real madrid wins the champions league.	anticipation	joy	
all of you can hate rooney but he was the league, champions league everything with manchester united fuck england's team they full of shit.	anger	disgust	
am i the only one who's excited about champions league next week today #lfc #ynwa #lfcfamily	anticipation	fear	
am soo happy liverpool are in the champions league we actually deserve it	joy	trust	
amazing team and fans, all together we are invincibles!! we've got it!! comeback championsleague viscaelbarça	trust	anticipation	joy
back in the big time next week #championsleague #lfc #ynwa #buzzzing ⚽️	anticipation	joy	
back in the champions league this day next week! can't wait!! #lfc	anticipation	joy	
bale must think fuck this every time he plays for wales. champions league winner half a year ago and now his country are losing to andorra	sadness	anger	
barca are going to win la liga and ive kinda accepted it now	trust	sadness	
barcelona home and liverpool home champions league edition jersey...can't wait!!!	anticipation	joy	
bayern - mcfc next week.. i've missed the champions league so much ❤️❤️❤️	anticipation	joy	
being on the kop for the return of champions league football is going to be special 👌⚽️	anticipation	trust	joy
big congratulations granemore ladies on becoming league champions 2014 #gogirls	joy	trust	
big improvement in welbeck since he joined arsenal #championsleague	joy	trust	
booked and bought tickets to champions league game vs galatasary @ emirates 😏	joy	anticipation	
booked my leave for when lfc play in our first champions league. fuck yh. did you think i'd let that go? did you think fucking no.	joy	anticipation	
booom! got liverpool tickets for champions league opener at anfield next week! 😃😃😃	joy	anticipation	
can not wait for this saturday my local team lahore lions vs mumbai indians in the twenty20 champions league #lahorelahorehai	joy	anticipation	
can't believe how cheap tickets are for the first champions league at anfield! no one will go with me!	surprise	sadness	
can't believe i'm going to be in the kop for the first home champions league game in years!	joy	anticipation	surprise
can't believe it's only a week to see the mighty reds back in the champions league 🏆⚽️	joy	anticipation	
can't believe it's only a week until we return to the champions league , so excited	joy	anticipation	
can't believe that prick woys putting hendo in. we got champions league. can't afford to lose all our players on england duty	anger	fear	disgust
can't wait anymore for @championsleague also can't wait for 11 title coming for @realmadrid #halamadrid	joy	anticipation	
can't wait for champions league football back at anfield...	joy	anticipation	
cannot wait for next tuesday, champions league is back at anfield	joy	anticipation	
cannot wait to here the roar of anfield when @lfc return to greatest stage of all #buzzing #winning #championsleague	joy	anticipation	
cant believe the champions league is back next week and the pool are back in it 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍	joy	anticipation	
cant wait for next tuesday, liverpool's first champions league game :d	joy	anticipation	
cant wait to back at the ground watching the reds in champions league next week me ☺️	joy	anticipation	
cant wait to be there tuesday night, be my first champions league match, that i can remember anyway.	joy	anticipation	
madrid away should be good too... :)	joy	anticipation	trust
champions league anthem next tuesday, can't wait, we're back! #ynwa	joy	anticipation	
champions league back on itv next tuesday?? think i will give that a miss!! #boring	disgust	surprise	sadness
champions league begins next week! barcelona, in group f, for future champions, play on wednesday.	anticipation	fact	joy
champions league coming soon! i look forward! #september16th @championsleague	anticipation	joy	
champions league football is back at anfield a week today, can't wait #lfc	anticipation	joy	
champions league football is back in a week!! what a great time of year fall is😏	joy	anticipation	
dad just got champions league tickets for tuesday !!!! #lfc#uefa#championsleague #lfcvlud	joy	surprise	anticipation
definitely going to be missing school to make it in time for these champions league matches 😂	anticipation	joy	trust
delighted to see ben youssef score that - regularly does it in the african champions league. big talent.	joy	trust	
dinner was so nice i decided to play the champions league theme tune as i cleaned the plates away.	joy	surprise	trust
does every 1 reckon the atmosphere will be electric next tuesday for the champions league game !!!!	joy	anticipation	
does the pitch look ok? i'll be there with #lfc in a few weeks	fear	anticipation	
england are definitely going to win the champions league on this form	trust	anticipation	
england are unquestionably gonna win the champions league. #soccerball	trust	anticipation	
errmmm does joe lewis realistically think we can get champions league??? ermmm....	fear	surprise	disgust
euro qualifiers to me are meh with sec & nfl football. need champions league so can down beer & wings at lunch mid week with @theomorrison1	disgust	anticipation	
every champions league stream on russian websites is better than this... #applelive #appleevent	disgust	sadness	anger
exactly 1 week to go til champions league is back at anfield, buzzzzin #ynwa	joy	anticipation	
excited @roynemer: champions league begins next week! barcelona, in group f, for future champions, play on wednesday.	joy	anticipation	
excited for the champions league .....i hope lahore lions would be roaring in india	joy	anticipation	
fabio capello has tipped chelsea to win the champions league this season.	trust	anticipation	joy
fabio capello tips bayern munich or chelsea for the champions league	trust	anticipation	fear
far out reus out for 4 weeks! he wont play the champions league match against arsenal 😞😞⚽️ this is so unfair for marco reus!	sadness	disgust	fear
feels good to be back on itv with clive tyldesley on champions league nights 😌👊👏⚽️	joy	trust	anticipation
figures said baby ting 😂😂😂😂 fam let that come rochy ain't leaving for shit i would go champions league final on dat trust me aki	trust	anger	anticipation
finally i bought my champions league tickets for fc basel - real madrid .. i'm excited cant wait.. 😍 #ucl #baselvsrealmadrid	joy	anticipation	
financial fair play fines to be shared out among champions league rivals... nice to see us helping out the poorer clubs.	joy	trust	
fingers crossed tomorrow for champions league tickets sale on @lfc website. i'll take the one but three would be nice if there's any takers?	anticipation	trust	fear
finishing 7th and having no champions league... #morethangerrard	sadness	disgust	anger
first champions league game at anfield in 5 years and i'm there	joy	anticipation	trust
first game back in the champions league on tuesday an i've to work #typical	sadness	anger	disgust
first shift in my new store is on the same day as liverpool's first champions league game! #sigh	sadness	anger	disgust
forget this hodgeball bollox, champions league is back next week!	joy	anticipation	
fuckin buzzing i got tickets for @lfc v pfc ludogorets. first game back in the champions league... let's have it.	joy	anticipation	
fucking yasss fantasy football for champions league get in !!!	joy	trust	anticipation
geordie shore over great... now bring on the tuesday champions league 🏆cant fucking wait!!!	joy	anticipation	
get...the ... fuck ... in. champions league nights back at anfield... and i'm there #lfc #ynwa #championsleague	joy	anticipation	
glad the premier leagues back this weekend, then champions league next week!! #footballseason #premierleague #championsleague ⚽️🏆	joy	anticipation	
god i can't wait to be at anfield for champions league nights	joy	anticipation	
god, hearing the champions league theme tune just proper fucks me off united aren't in it 😭	sadness	disgust	anger
going to arsenal vs galatasaray champions league game with noar&kastriot 😀 #afc #ucl	joy	anticipation	
going to be strange watching champions league and not seeing united in it...	sadness	disgust	fear
going to liverpool's first game back in the champions league next week! it's been a long wait!!	joy	anticipation	
going to miss liverpool's return to champions league football because of the army and that makes me sad	sadness	disgust	
gonna be in barcelona when they play their champions league opener at home #olé	joy	anticipation	
good luck in the u19s champions league, brother. @yandhanda 👌⚽	joy	trust	anticipation
goodmorning. 3 days until the game against atletico. and next week its already championsleague, cant wait!	joy	anticipation	
got @lfc tickets for tuesday, absolutely buzzing!!!!! #championsleague #ynwa	joy	anticipation	
great result for england. should go on and win the league now. #champions	joy	trust	anticipation
happy to get my hands on some champions league tickets! will be nice to be back at anfield for a european night! #lfc	joy	anticipation	
he's won the champions league, you absolute thunder-cunt. @histfootball	disgust	anger	trust
hello champions league!!! see you 17th at the olimpico!!! daje roma!!	joy	anticipation	
his last good game was arsenal champions league semi final and he ended up getting sent off and we lost final	sadness	disgust	anger
holy hell we have a champions league game a week today. fuck yeah.	surprise	anticipation	joy
holy shit do the switz have more champions league experience in their side than we do?	fear	sadness	surprise
honestly cant wait for champions league this performance from turkey is pissing me off	disgust	anticipation	anger
how am i gonna have he+ the day liverpool are back in the champions league 😩😭	sadness	disgust	anger
how can @haydngoat not rate djourou, he's played at 3 world cups. also the proud owner of a champions league runners up medal.. 🙇🌚	disgust	sadness	trust
how does man united have record revenues the year they fuck up and drop out of champions league play? i'll never understand it	disgust	fear	anger
how far do you thin that we will reach in the championsleague? #askhenderson	anticipation	joy	fear
htc doesn't leverage enough off it's champions league sponsorship and also when was the last time you saw an htc ad? smh	disgust	fear	sadness
i accepted the fact that you've won the champions league but i haven't. you still wanna fight me is what i don't get	disgust	sadness	fear
i ain't gonna lie. i cried when arsenal lost the champions league final	trust	sadness	
i already know my favourite moment of the season is gonna be loic remy's goal to knock liverpool out of the champions league spots.	trust	anticipation	joy
i always whanted to compete at champions league and now it's actually happening 😍	joy	trust	anticipation
i am happy today as i got tickets for liverpool's return to the champions league against ludogorets. i'm looking forward to it a lot	joy	anticipation	
i am relieved to say i am officially excited about @lfc again! champions league nights back at anfield next tuesday! ohhhh yes!	joy	anticipation	
i am so fkin excited for @lfc first champions league match on tuesday	joy	anticipation	
i believe welbz has a good chance of scoring more champions league goals than rvp and falcao this season.	trust	anticipation	joy
i can't lie. hearing the champions league anthem and knowing we are not in it burns. thanks mr flipping moyes #mufc	sadness	disgust	anger
i don't see real madrid having much trouble in the champions league	trust	anticipation	joy
i don't think i'm going to be able to watch champions league football this season considering united aren't competing.	sadness	disgust	anger
i dont care if welbeck runs the pitch to win the world cup,wins the euros,champions league and the bpl. the guy is still poo	disgust	anger	sadness
i hate internationals. so glad the premier league is back this weekend! 🙌 #ucl soon come too 😍	joy	anticipation	
i hear man.utd are currently the richest club globally,but untill they can afford champions league football,i won't believe that shit	disgust	anticipation	fear
i hope #manchesterunited will come back with winning way under louis van gaal, i hope we come back to the #ucl next season. #mufc	anticipation	trust	
i know for sure that bae will watch champions league with me ❤️👌😂😘😍😏⚽️	joy	trust	anticipation
i mean milan can only get better plus there is no europe pressure this season, my hopes are sky high we can qualify for the #ucl	trust	anticipation	joy
i missssss chelsea!	sadness	fear	
from next week goin there is premiere league, capital one cup and champions league! football overdose!	joy	anticipation	
i need a girl who makes me feel like i won a trophy,something like champions league	sadness	anticipation	
i need some champions league in my life. let's forward to next week. #ucl	anticipation	sadness	
i now know how tottenham felt when they came 4th and didn't get champions league. if anything its worse if it happens on football manager.	sadness	disgust	anger
i rate inler highly, only cos he's performance against chelsea in the champions league 🙊	joy	trust	
i really miss seeing serero play though, i'll probably see him in the eufa champions league..	sadness	anticipation	
i really need to go to a champions league night at anfield this season	anticipation	trust	
just booked tickets to go to madrid to see the @championsleague to see @realmadrid #halamadrid	joy	anticipation	
just finished uefa champions league in master league. i and my team mates in atletico crowned champions after smashing real madrid (3-2).	joy	trust	
just found out i'm going to watch #lfc vs ludogorets! champions league football is back #ynwa @wickett180	surprise	anticipation	joy
just got tickets to watch barcelona play apoel nicosia next week in the champions league group stage @ camp nou, great!!!	joy	anticipation	
just listening to the champions league anthem will give me goosebumps 😁	joy	anticipation	
just over a week till champions league nights are back at anfield	joy	anticipation	
just over a weekend till champions league nights at anfield are back	joy	anticipation	
just putting it out there: we'll see leeds united back in the champions league before man u #lufc	trust	anticipation	
just qualified for the champions league and the board give me a transfer budget of £590k. let's get the big names in! #fm14 #boro	joy	trust	anticipation
just realised i'm working next tues night and gonna miss our return to the champions league gutted to say the least	disgust	sadness	anger
just realised its almost 10 years from liverpool won the champions league, i feel very very old	disgust	sadness	fear
just remembered it's the champions league next week. yesssssssssss	joy	anticipation	surprise
just saw a commercials for the champions league and real madrid if they don't win it again they're overrated	anticipation	fear	disgust
just saw a video about league of legends relying on having large breasts on all the female champions and i'm just, are yu new here?	surprise	disgust	anger
just seen on itv, next tuesday champions league returns to anfield! buzzing.	joy	anticipation	
just sold my 2 tickets for next weeks champions league match. great service offered by @kopitetickets highly recommended.	joy	trust	
just thinking of next week tuesday night puts a smile on my face. #lfc #ucl #anfield	joy	anticipation	
just watched the united game from the @championsleague final at 1999. never doubt @manutd	sadness	trust	
just won the champions league for the 4th season in a row on fifa, woooooooooooooo now bed	joy	trust	
just won the champions league with tottenham on fifa 14 and my ps vita froze. cruel joke, play station.	sadness	anger	disgust
juventus and liverpool to topple the odds and reach the champions league final. sod off spanish mundane domination and german hippy wanks	trust	anticipation	disgust
keep playing like that fabian, you’ll be earning massive money and playing in the champions league next season. 👍	trust	joy	anticipation
last episode of geordie shore now.. won't miss it that much with the champions league back on tuesday nights 👌	joy	anticipation	trust
laying in bed an thinking. lfc first ucl game is in 6days !! can't wait !!	joy	anticipation	
league kicks off tonight? who is going to be crowned champions? #5aside	anticipation	joy	
lfc will be playing in this stadium in 3 weeks time in the champions league :)	joy	anticipation	
smh. cules still think barca are the biggest club	disgust	surprise	anger
little bit excited for the champions league next week! might mean mid week drinking in large quantities 🍻⚽️	fear	anticipation	
liverpool are back in the champions league next week, i can't wait!!	joy	anticipation	
liverpool are the only team who could finish second in the premier league and nearly finish champions and still have shit ratings on fifa.	disgust	sadness	anger
liverpool back in the champions league on tuesday, so fucking excitedddddd!!	anticipation	joy	
liverpool champions league next tuesday 😭😭😭😭😭😭😩😩⚽️ we back bby	joy	anticipation	trust
liverpool fc has a potential to take the european champions league this season.can't waiting that moment.:d	anticipation	trust	joy
liverpool has a great attack force in the premier league and maybe in champions league	trust	anticipation	joy
liverpool have actually made a movie about winning the champions league, whaaaaat?😄😄😄	surprise	joy	disgust
liverpool have got you by the bollocks when it comes to these champions league tickets 💸	disgust	sadness	anger
luis suarez swapping with robben? doubt it! why would robben leave munich a week after he wins the champions league	trust	anticipation	joy
maan, my dude ronaldo won the ballon d'or, golden boot, best player in europe, and champions league all in one year 💥💥	joy	trust	surprise
mad how much im looking forward to being back at anfield for champions league nights from next week	joy	anticipation	
made a dreadful error for next week. booked up for my classes at the gym to then remember champions league is back next tues! 🙈 #doh!	disgust	sadness	anger
madrid away in the champions league booked @lfc you'll never walk alone madrid will be scouse 4/11/2014	joy	anticipation	trust
madrid for the champions league game and straight to the amsterdam for the week. october is fucking going off 🙌	joy	anticipation	
man can't wait for the champions league , guess who's back liverpoolll	joy	anticipation	
man got tickets for tuesday night unoooo #championsleague #wedemboyz	joy	anticipation	
managed to bag a ticket for the liverpool game against ludogrets! first game back in the champions league for 5 years, absolutely buzzing	joy	anticipation	
managed to get a ticket for the @lfc vs ludogorets game! @championsleague  is back at anfield!#ucl #weareliverpool #ynwa	joy	anticipation	
marco reus injured and will not play against arsenal in #ucl. very good news for arsenal!	joy	trust	
marco reus is really unlucky. he's got an ankle ligament injury so he's ruled out of the first champions league match against arsenal 😔	sadness	disgust	
messi was the #ucl best scorer in 4 times, cristiano was in 3 times. so it's cr7 3-4 messi. will cr7 equal messi's record ? #halamadrid	anticipation	fact	
midweeks are miserable without the champions league the sooner it makes a return the better	anticipation	sadness	
mike said he's going to the league and i thought he meant champions league.... but he meant football😐	surprise	sadness	disgust
mikel should prove his stuff in this match that is a champions league winner because if not am a chelsea fan i would have doubted him.	trust	anticipation	sadness
milan please try and come back to champions league next season	anticipation	trust	sadness
mls/champions league schedule doesn't look too kind to a struggling skc. if they're not careful, they might tumble to that play-in game.#mls	fear	anticipation	sadness
morning everyone,,4days till match day an 1 week today play our first match in the champions league !! #excited #lfc #ynwa	joy	anticipation	
next week exactly at this time #lfc would be playing the glorious #ucl game. ..super excited	joy	anticipation	
next week it's uefa champions league matches ,can't wait to see chelsea play schalke 04	joy	anticipation	
next week, liverpool fc will be playing its first @championsleague match for nearly five years! we never walked alone! #berlin2015?	joy	anticipation	trust
nigeria's independence + champions league is just around; get ready to challenge ur friends on #refpredictor league (rpl) to win cool stuffs	joy	anticipation	
no guy can ever tell me he hasnt had that daydream of playing in the champions league final…	trust	joy	
no stadium, no top players, no title in over 50 years, no champions league, small fan base and they want a £billion!	surprise	disgust	anger
not gonna let adrian chiles ruin our return to the champions league!! roll on, roll on! #lfc	trust	joy	anticipation
not in the champions league yet we making more money than the comedians in the epl. somehow we always remain top	trust	joy	surprise
not sure what all #manutd fans will be doing on wednesdays as for us scousers we will be watching our team in champions league #lfc #ynwa	joy	anticipation	trust
now i'm able to do it, i think a few champions league games abroad are in order this year...	trust	anticipation	joy
now that this bs is over, back to #lfc we go. back to the champions league next week, can't wait #buzzing	anticipation	joy	
now those figures will decrease drastically without champions league football but we will be back... with even more positive records!!	trust	anticipation	
now welbeck has hit form i think @manutd you push for a champions league place this season	trust	anticipation	joy
of course the year after i leave storm they get picked to go to the champions league 😩 #sojealous	sadness	disgust	anger
oh look at that, liverpool playing in the champions league next week.	surprise	joy	anticipation
oi.... man got tickets to first champions league game at anfield in 5 years😱😄👏	joy	anticipation	
one week till champions league. fucking buzzing. the chaaaaammmmmpions dadadada	joy	anticipation	
only 36k people play fantasy champions league? thought it would be more...	surprise	disgust	sadness
our fantastic players are getting injured playing for their countries & we have the champions league coming up #worried #lfc	fear	sadness	anticipation
our first champions league fixture since 2009 is only 7 days a way.	joy	anticipation	
our team #ludogorets is in #championsleague yes! we waited for this time too long. #champions #goludogorets	joy	anticipation	
paris saint germain will be in the big four of the champions league these season :d	trust	anticipation	joy
paul gascoine scored one of the greatest goals in @championsleague on @itv .... what a talent #gazza	trust	joy	
prem is back this weekend then champions league in the week! good life	joy	anticipation	
price of the champions league tickets is absolutely ridiculous imo	disgust	sadness	anger
properly looking forward to next tuesday evening... #ucl #lfc #5times	anticipation	joy	trust
proud to say i was able to work with the can-am league champions! what a great experience, awesome job guys @rcklandboulders #boulderup	trust	joy	
purposely took no classes tuesdays, wednesdays because i'm not missing a second of champions league this year	anticipation	joy	trust
putting kanye over the champions league song sounded like a good idea...in my head. maybe i've lost my touch with audio editing.	disgust	sadness	fear
pwar i've missed watching liverpool on itv1 in the champions league, still remember watching them beat madrid 1 nawt	sadness	anticipation	
radamal falcao, angel do maria, marcos rojo and daley blind should lift man u this season and bring them back to champions league	trust	anticipation	joy
rah it still makes me chuckle to see liverpool back in the champions league	joy	anticipation	
raheem sterling in the champions league this season is going to be amazing! he'll decline from 25 onwards but love him until then!! #eng	trust	anticipation	joy
real madrid 2014 team was best in #ucl as they thrashed defending #ucl winner and had an amazing & record breaking #ucl season #ultimateucl	trust	joy	
real madrid fans. can we u pull it off? win the champions league again n make history again?	anticipation	fear	
really really looking forward to seeing liverpool back in the champions league.	joy	anticipation	
remember we have a champions league tie on wednesday too! i'd rest sterling for the weekend. coutinho's mastery to take over!	joy	anticipation	
remember when wilshire played well against barcelona in the champions league a few years ago ... hasn't played well since!	disgust	sadness	surprise
na it's all about ludogorets at anfield! champions league is back! #ucl	joy	anticipation	
return @championsleague, return top chef poland, return hell's kitchen poland, now @fivbmenswch, so amazing! <3	joy	anticipation	
reus out of #ucl clash with arsenal, that's some good news for gooners. hope he gets well soon though #afc #bvb	joy	trust	anticipation
right. enough of this international football shite. can the premier league and champions league hurry up please... that's what we care about	anticipation	disgust	
ronaldo da lima never won a champions league .. but 3 world best wif 1st coming at age 17 shows hes greater nd ll always b original ronaldo	trust	joy	
ronaldo may have won the champions league but he's never won the royal rumble and never will.	disgust	trust	anger
ronaldo scored 17 in the champions league last season, yes, seventeen.... 🔥💥	surprise	joy	trust
rooney fell off so much. this is a guy who score a hattrick on his champions league debut at 18. 😔	sadness	disgust	
rooney has played premier league, champions league n international football every single week since he was 16! #wow #burntout	surprise	trust	fear
sanogo and welbeck scored last night, who needs falcao, gonna win the champions league now	trust	anticipation	joy
sept 16th will be a great day. i will have work off and ucl and concacaf champions league games to watch	joy	anticipation	trust
september 16 .... theeeeeeeeee chaaampionssssssssssssss!!!! #ucl	joy	anticipation	
september shaping up rather nicely.... vegas. 4 nights in nyc. ryder cup. nfl at wembley. fifa 15. lfc back in the champions league! #boss	joy	anticipation	trust
thank god soccer season is here. especially the champions league. 🙌🙌🙌🙌	trust	joy	anticipation
thank god that international breaks over!! bring on the prem and champions league 👊👊	trust	joy	anticipation
that makes me so happy to see... champions league coverage next week with liverpool in action 👍👏😊😍💪✌️⚽️⚽️🏆 about time!!! #lfc	joy	anticipation	trust
that moment when you realise liverpool are back in the champions league a week tomorrow #lfc	joy	anticipation	
this trial has been more dragged out than the champions league draw.	disgust	sadness	anger
time to go to bed, trudge through this week, watch arsenal vs man city on saturday, then watch some champions league soccer next week!	joy	anticipation	
twitizens, please why is #welbeck all over my tl this night? did he score the winning goal for #afc in the #ucl final?	anticipation	disgust	fear
uefa champions league best goals, then pre game, then czech republic vs netherlands perfect 2 and a half hours	joy	trust	anticipation
villa in the league on saturday and then ludogorets in the champions league on tuesday , lovely week ahead.	joy	anticipation	trust
wait nottingham forrest has 2 champions league titles??? arsenal no get ?	surprise	disgust	sadness
wait, i'll never be home for champions league games.. nooooooooooooooooo	sadness	disgust	surprise
#amazonfire #dynamicperspective might suck up battery life.#jeffbezos didn't really touch on that subject!!!	disgust	surprise	anger
#google #hummingbird though still in #beta stage, but will gain acceptance with #wearable #technology, since users focus on accomplishment.	trust	anticipation	
#iphone chargers and battery life are really making me look into #androids	disgust	sadness	
48 hour iphone battery life. that's the first item on my christmas wish list this year.	anticipation	trust	
@_sywcg jk i'm hella excited for new wearable tech and an android update :)))	anticipation	joy	
@_theexodus naa man i want an iphone samsung camera quality is shit.	disgust	anticipation	
@achipa interesting to see if apple comes with something immediately understandable in wearable space.	anticipation	fear	
@ahealthyslice quinoa bites = addicting!  i shred the broccoli in the food processor - laziness for the win ;-)	joy	trust	
@angad10sep @ashayak yes! my phone is fast you should get a nexus.	joy	trust	
@attdeals @appleofficlal if u haven't noticed, @samsung is putting out new, updated cell phones at a ratio of 3 to 1 new, updated iphone sux	disgust	anger	
@bestbuy the new samsung galaxy tab is sweeeeet! #greatestgrad	joy	trust	
@bigeblade if you have other apple devices then iphone is a must. menus are not as simple to navigate through on samsung as iphone.	trust	joy	
@bigjoey76 @ee wow. ...hang on. it's got a 2 day battery life!!!	joy	surprise	trust
@blu_adde i need a iphone 5s then so it’s superior camera can focus on this tiny thing in my pants	anticipation	trust	
@boschkitchenssa i'm so happy with my blender for the @welliamchlg :) i have a competitor processor on loan, but it's been made redundant :)	joy	trust	
@brevilleusa @matthewjennings this pasta recipe is perfect for the breville food processor! and quick!!!	joy	surprise	trust
@buggalo android wear does far more than pebble. i thought my pebble was history. but until smartwatch displays work outdoors, pebble stays!	joy	surprise	trust
@buggalo android wear is clever and exciting, but current smartwatches becomes stupid when sun prevents time-telling! will moto360 prevail?	sadness	anticipation	
@challengelauren and those snaps lol they are awesome ur camera is epic i am sure u use iphone or an ipod	joy	trust	
@clarabsmith33 ohhh man! i feel in the water with a battery booster , camera and new iphone and took like three days in rice but fixed it	joy	surprise	
@clyderoberson i may be forced to flush my samsung galaxy down the toilet & buy an iphone. just say the word.	fear	anticipation	
@corycowgill @markross__c hold out for the iwatch. i know technology is progressing quick, but java on watch? ew.	disgust	surprise	fear
@cougardc thanks for keeping nexus alive!!  @wildstar @wildstarops	joy	trust	
@currentgeek i have 10 sensors for bullshit. they all just sensed something #iwatch	disgust	anticipation	fear
@cyncynnnnnn see i would violate , but i'm no bully .. plus you not worth my battery life 🙇	disgust	anger	
@dan684_ stop it!!! i don't have the battery life to listen!! 😫😫😫	disgust	anger	
@dane_boegner if i had more battery life id do a creative slide but i don't got much left	sadness	fear	
@dantregembo @dslrinformer battery life isn't great, but better than a bmpcc!	sadness	trust	
@digitalastair i have a nexus 5 - probably haven't left fanboy days ;)	trust	joy	
@dmerlyn maybe nexus machine was not as responsive as it shud have been	sadness	disgust	
@doidoiphua intel processor, i trust will perform better than mtk, the camera is awesome in low light,or huawei	trust	anticipation	
@dougerythuggery it's gorgeous- used it on a friend's nexus 5 today.	joy	surprise	
@dynamicsubspace and here i thought all this iwatch gab was just talk and rumor.	surprise	anticipation	
@eightlab i tried, but the iphone camera couldn't cope with it!	sadness	anger	
@elllizabbbeth your camera does it justice unlike iphone cameras 😪	surprise	trust	
@estebs1978 agree... you could churn through video encoding tasks like crazy with that 8-core processor.	trust	joy	
@fligguh yeah but i can't charge it anymore so i just charge the battery itself, and the battery life is complete shit	sadness	disgust	anger
@garretthoff527 get the droid max. it has 32 hours of battery life. my mom has it and she loves it	trust	joy	
@geemichelin yess!! 😄 damn samsung doesn't let me use emojis for contacts so i had to do <3. i shall buy an iphone to keep up. 😇	anger	anticipation	
@getwired i get tired of the iwatch mock-ups. they are the dumbest things in the world.	disgust	anger	
a golden samsung!? wow, that's original. #copycats #youarenotfancy	disgust	surprise	
after 2 hours, my phone is already on 60% battery life... this is going to be disastrous during #totc	fear	anger	
